company_number,company_name,company_status,date_of_creation,date_of_cessation,sic_codes,last_accounts_made_up_to,last_accounts_type
00445790,TESCO PLC,active,1947-11-27,,47110,2025-02-26,group
11563248,AYNA CONTRACTING LIMITED,active,2018-09-11,,43390,2024-09-30,dormant
00002065,LLOYDS BANK PLC,active,1865-04-20,,64191,2024-12-31,group
09098199,PANASEER LIMITED,active,2014-06-23,,"62012,62090",2024-06-30,group
00999999,ALL THE NINES LIMITED,dissolved,1971-01-18,2010-07-20,7499,2008-03-31,dormant
